drugbank_id,drug_name,target_id,target_name,actions,known_action,organism,gene_name,uniprot_id
DB00281,Lidocaine,BE0000767,Epidermal growth factor receptor,antagonist,unknown,Humans,EGFR,P00533
DB00281,Lidocaine,BE0002083,Sodium channel protein type 4 subunit alpha,,unknown,Humans,SCN4A,P35499
DB00281,Lidocaine,BE0000925,Alpha-1-acid glycoprotein 1,,unknown,Humans,ORM1,P02763
DB00281,Lidocaine,BE0003663,Alpha-1-acid glycoprotein 2,,unknown,Humans,ORM2,P19652
DB00282,Pamidronic acid,BE0000776,Farnesyl pyrophosphate synthase,inhibitor,yes,Humans,FDPS,P14324
DB00282,Pamidronic acid,BE0004801,Hydroxylapatite,antagonist,yes,,,
DB00282,Pamidronic acid,BE0003570,Geranylgeranyl pyrophosphate synthase,inhibitor,unknown,Humans,GGPS1,O95749
DB00282,Pamidronic acid,BE0001162,Caspase-3,activator,unknown,Humans,CASP3,P42574
DB00282,Pamidronic acid,BE0009991,Caspase-9,activator,unknown,Humans,CASP9,P55211
DB00283,Clemastine,BE0000442,Histamine H1 receptor,antagonist,yes,Humans,HRH1,P35367
DB00284,Acarbose,BE0000837,Maltase-glucoamylase,inhibitor,yes,Humans,MGAM,O43451
DB00284,Acarbose,BE0001176,"Sucrase-isomaltase, intestinal",inhibitor,yes,Humans,SI,P14410
DB00284,Acarbose,BE0002639,Pancreatic alpha-amylase,inhibitor,yes,Humans,AMY2A,P04746
DB00284,Acarbose,BE0000876,Lysosomal alpha-glucosidase,inhibitor,unknown,Humans,GAA,P10253
DB00285,Venlafaxine,BE0000749,Sodium-dependent serotonin transporter,inhibitor,yes,Humans,SLC6A4,P31645
DB00285,Venlafaxine,BE0000486,Sodium-dependent noradrenaline transporter,inhibitor,yes,Humans,SLC6A2,P23975
DB00285,Venlafaxine,BE0000647,Sodium-dependent dopamine transporter,inhibitor,unknown,Humans,SLC6A3,Q01959
DB00286,Conjugated estrogens,BE0000792,Estrogen receptor beta,agonist,yes,Humans,ESR2,Q92731
DB00286,Conjugated estrogens,BE0000123,Estrogen receptor,agonist,yes,Humans,ESR1,P03372
DB00287,Travoprost,BE0000610,Prostaglandin F2-alpha receptor,agonist,yes,Humans,PTGFR,P43088
DB00288,Amcinonide,BE0000794,Glucocorticoid receptor,agonist,yes,Humans,NR3C1,P04150
DB00288,Amcinonide,BE0002088,Estrogen-related receptor gamma,modulator,unknown,Humans,ESRRG,P62508
DB00288,Amcinonide,BE0005001,Steroid hormone receptor ERR2,modulator,unknown,Humans,ESRRB,O95718
DB00288,Amcinonide,BE0003722,Steroid hormone receptor ERR1,modulator,unknown,Humans,ESRRA,P11474
DB00288,Amcinonide,BE0000422,Annexin A1,agonist,unknown,Humans,ANXA1,P04083
DB00289,Atomoxetine,BE0000486,Sodium-dependent noradrenaline transporter,inhibitor,yes,Humans,SLC6A2,P23975
DB00289,Atomoxetine,BE0000749,Sodium-dependent serotonin transporter,inhibitor,unknown,Humans,SLC6A4,P31645
DB00289,Atomoxetine,BE0004956,NMDA receptor,blocker,unknown,Humans,GRIN1,Q05586
DB00289,Atomoxetine,BE0001028,G protein-activated inward rectifier potassium channel 1,inhibitor,unknown,Humans,KCNJ3,P48549
DB00289,Atomoxetine,BE0000632,Kappa-type opioid receptor,partial agonist,unknown,Humans,OPRK1,P41145
DB00290,Bleomycin,BE0004796,DNA,cleavage,yes,,,
DB00290,Bleomycin,BE0000199,DNA ligase 1,inhibitor,unknown,Humans,LIG1,P18858
DB00290,Bleomycin,BE0000167,DNA ligase 3,inhibitor,unknown,Humans,LIG3,P49916
DB00291,Chlorambucil,BE0004796,DNA,cross-linking/alkylation,yes,,,
DB00292,Etomidate,BE0000795,Gamma-aminobutyric acid receptor subunit alpha-1,agonist,yes,Humans,GABRA1,P14867
