drugbank_id,drug_name,target_id,target_name,actions,known_action,organism,gene_name,uniprot_id
DB00001,Lepirudin,BE0000048,Prothrombin,inhibitor,yes,Humans,F2,P00734
DB00002,Cetuximab,BE0000767,Epidermal growth factor receptor,binder,yes,Humans,EGFR,P00533
DB00002,Cetuximab,BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,binder,unknown,Humans,FCGR3B,O75015
DB00002,Cetuximab,BE0002094,Complement C1q subcomponent subunit A,binder,unknown,Humans,C1QA,P02745
DB00002,Cetuximab,BE0002095,Complement C1q subcomponent subunit B,binder,unknown,Humans,C1QB,P02746
DB00002,Cetuximab,BE0002096,Complement C1q subcomponent subunit C,binder,unknown,Humans,C1QC,P02747
DB00002,Cetuximab,BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,binder,unknown,Humans,FCGR3A,P08637
DB00002,Cetuximab,BE0000710,High affinity immunoglobulin gamma Fc receptor I,binder,unknown,Humans,FCGR1A,P12314
DB00002,Cetuximab,BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,binder,unknown,Humans,FCGR2A,P12318
DB00003,Dornase alfa,BE0012829,Deoxyribonuclease-1,other,yes,Humans,DNASE1,P24855
DB00004,Denileukin diftitox,BE0000658,Interleukin-2 receptor subunit alpha,ligand,yes,Humans,IL2RA,P01589
DB00004,Denileukin diftitox,BE0000651,Interleukin-2 receptor subunit beta,ligand,yes,Humans,IL2RB,P14784
DB00005,Etanercept,BE0000704,Tumor necrosis factor,"inhibitor, antibody",yes,Humans,TNF,P01375
DB00005,Etanercept,BE0001087,Lymphotoxin-alpha,antibody,yes,Humans,LTA,P01374
DB00005,Etanercept,BE0000710,High affinity immunoglobulin gamma Fc receptor I,ligand,no,Humans,FCGR1A,P12314
DB00005,Etanercept,BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,ligand,no,Humans,FCGR2A,P12318
DB00005,Etanercept,BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,ligand,no,Humans,FCGR2B,P31994
DB00005,Etanercept,BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,ligand,no,Humans,FCGR2C,P31995
DB00005,Etanercept,BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,ligand,no,Humans,FCGR3A,P08637
DB00005,Etanercept,BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,ligand,no,Humans,FCGR3B,O75015
DB00005,Etanercept,BE0009995,Complement component 1q (C1q),ligand,no,Humans,C1QA,P02745
DB00006,Bivalirudin,BE0000048,Prothrombin,inhibitor,yes,Humans,F2,P00734
DB00007,Leuprolide,BE0000203,Gonadotropin-releasing hormone receptor,agonist,yes,Humans,GNRHR,P30968
DB00007,Leuprolide,BE0010526,Progonadoliberin-1,activator,unknown,Humans,GNRH1,P01148
DB00008,Peginterferon alfa-2a,BE0000385,Interferon alpha/beta receptor 2,agonist,yes,Humans,IFNAR2,P48551
DB00008,Peginterferon alfa-2a,BE0000661,Interferon alpha/beta receptor 1,agonist,yes,Humans,IFNAR1,P17181
DB00008,Peginterferon alfa-2a,BE0003450,Interferon alpha-2,modulator,unknown,Humans,IFNA2,P01563
DB00009,Alteplase,BE0000211,Plasminogen,activator,yes,Humans,PLG,P00747
DB00009,Alteplase,BE0000538,Fibrinogen alpha chain,binder,yes,Humans,FGA,P02671
DB00009,Alteplase,BE0002092,Fibrinogen gamma chain,binder,yes,Humans,FGG,P02679
DB00009,Alteplase,BE0000240,Plasminogen activator inhibitor 1,,unknown,Humans,SERPINE1,P05121
DB00010,Sermorelin,BE0000625,Growth hormone-releasing hormone receptor,agonist,yes,Humans,GHRHR,Q02643
DB00011,Interferon alfa-n1,BE0000661,Interferon alpha/beta receptor 1,agonist,yes,Humans,IFNAR1,P17181
DB00011,Interferon alfa-n1,BE0000385,Interferon alpha/beta receptor 2,agonist,yes,Humans,IFNAR2,P48551
DB00012,Darbepoetin alfa,BE0000654,Erythropoietin receptor,agonist,yes,Humans,EPOR,P19235
DB00013,Urokinase,BE0000211,Plasminogen,activator,yes,Humans,PLG,P00747
DB00013,Urokinase,BE0000717,Urokinase plasminogen activator surface receptor,"inducer, modulator",yes,Humans,PLAUR,Q03405
DB00013,Urokinase,BE0000240,Plasminogen activator inhibitor 1,"substrate, inducer",yes,Humans,SERPINE1,P05121
DB00013,Urokinase,BE0000969,Plasminogen activator inhibitor 2,"substrate, inducer",yes,Humans,SERPINB2,P05120
DB00013,Urokinase,BE0000895,Urokinase-type plasminogen activator,modulator,unknown,Humans,PLAU,P00749
DB00013,Urokinase,BE0002112,Plasma serine protease inhibitor,substrate,unknown,Humans,SERPINA5,P05154
DB00013,Urokinase,BE0000942,Low-density lipoprotein receptor-related protein 2,substrate,unknown,Humans,LRP2,P98164
DB00013,Urokinase,BE0001656,Suppressor of tumorigenicity 14 protein,substrate,unknown,Humans,ST14,Q9Y5Y6
DB00013,Urokinase,BE0002113,Nidogen-1,ligand,unknown,Humans,NID1,P14543
DB00014,Goserelin,BE0000134,Lutropin-choriogonadotropic hormone receptor,agonist,yes,Humans,LHCGR,P22888
DB00014,Goserelin,BE0000203,Gonadotropin-releasing hormone receptor,agonist,yes,Humans,GNRHR,P30968
DB00014,Goserelin,BE0010526,Progonadoliberin-1,activator,unknown,Humans,GNRH1,P01148
DB00015,Reteplase,BE0000211,Plasminogen,activator,yes,Humans,PLG,P00747
DB00015,Reteplase,BE0000538,Fibrinogen alpha chain,,yes,Humans,FGA,P02671
DB00015,Reteplase,BE0000240,Plasminogen activator inhibitor 1,,unknown,Humans,SERPINE1,P05121
DB00016,Erythropoietin,BE0000654,Erythropoietin receptor,agonist,yes,Humans,EPOR,P19235
DB00017,Salmon calcitonin,BE0000431,Calcitonin receptor,agonist,yes,Humans,CALCR,P30988
DB00018,Interferon alfa-n3,BE0000661,Interferon alpha/beta receptor 1,agonist,yes,Humans,IFNAR1,P17181
DB00018,Interferon alfa-n3,BE0000385,Interferon alpha/beta receptor 2,agonist,yes,Humans,IFNAR2,P48551
DB00019,Pegfilgrastim,BE0000793,Granulocyte colony-stimulating factor receptor,agonist,yes,Humans,CSF3R,Q99062
DB00020,Sargramostim,BE0000628,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,agonist,yes,Humans,CSF2RA,P15509
DB00020,Sargramostim,BE0001036,Interleukin-3 receptor subunit alpha,agonist,yes,Humans,IL3RA,P26951
DB00020,Sargramostim,BE0002115,Cytokine receptor common subunit beta,agonist,yes,Humans,CSF2RB,P32927
DB00020,Sargramostim,BE0002116,Syndecan-2,agonist,unknown,Humans,SDC2,P34741
DB00022,Peginterferon alfa-2b,BE0000661,Interferon alpha/beta receptor 1,agonist,yes,Humans,IFNAR1,P17181
DB00022,Peginterferon alfa-2b,BE0000385,Interferon alpha/beta receptor 2,agonist,yes,Humans,IFNAR2,P48551
DB00022,Peginterferon alfa-2b,BE0003450,Interferon alpha-2,modulator,unknown,Humans,IFNA2,P01563
DB00023,Asparaginase Escherichia coli,BE0004798,L-asparagine,other/unknown,yes,,,
DB00024,Thyrotropin alfa,BE0000490,Thyrotropin receptor,agonist,yes,Humans,TSHR,P16473
DB00025,"Antihemophilic factor, human recombinant",BE0000216,Coagulation factor X,activator,yes,Humans,F10,P00742
DB00025,"Antihemophilic factor, human recombinant",BE0000364,Coagulation factor IX,cofactor,yes,Humans,F9,P00740
DB00025,"Antihemophilic factor, human recombinant",BE0001043,von Willebrand factor,binder,yes,Humans,VWF,P04275
DB00025,"Antihemophilic factor, human recombinant",BE0002117,"Phytanoyl-CoA dioxygenase, peroxisomal",antagonist,yes,Humans,PHYH,O14832
DB00025,"Antihemophilic factor, human recombinant",BE0002118,Asialoglycoprotein receptor 2,binder,yes,Humans,ASGR2,P07307
DB00025,"Antihemophilic factor, human recombinant",BE0001098,Endoplasmic reticulum chaperone BiP,chaperone,no,Humans,HSPA5,P11021
DB00025,"Antihemophilic factor, human recombinant",BE0002109,Calreticulin,chaperone,no,Humans,CALR,P27797
DB00025,"Antihemophilic factor, human recombinant",BE0001011,Calnexin,chaperone,no,Humans,CANX,P27824
DB00025,"Antihemophilic factor, human recombinant",BE0002119,Protein ERGIC-53,"binder, transporter",yes,Humans,LMAN1,P49257
DB00025,"Antihemophilic factor, human recombinant",BE0002110,Prolow-density lipoprotein receptor-related protein 1,modulator,yes,Humans,LRP1,Q07954
DB00025,"Antihemophilic factor, human recombinant",BE0002120,Multiple coagulation factor deficiency protein 2,modulator,yes,Humans,MCFD2,Q8NI22
DB00026,Anakinra,BE0000565,Interleukin-1 receptor type 1,antagonist,yes,Humans,IL1R1,P14778
DB00027,Gramicidin D,BE0000803,Dihydropteroate synthase,binder,unknown,Escherichia coli (strain K12),folP,P0AC13
DB00028,Human immunoglobulin G,BE0000710,High affinity immunoglobulin gamma Fc receptor I,antagonist,yes,Humans,FCGR1A,P12314
DB00028,Human immunoglobulin G,BE0004684,Putative high affinity immunoglobulin gamma Fc receptor IB,antagonist,yes,Humans,FCGR1BP,Q92637
DB00028,Human immunoglobulin G,BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,antagonist,yes,Humans,FCGR2A,P12318
DB00028,Human immunoglobulin G,BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,antagonist,yes,Humans,FCGR2B,P31994
DB00028,Human immunoglobulin G,BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,antagonist,yes,Humans,FCGR2C,P31995
DB00028,Human immunoglobulin G,BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,antagonist,yes,Humans,FCGR3A,P08637
DB00028,Human immunoglobulin G,BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,antagonist,yes,Humans,FCGR3B,O75015
DB00028,Human immunoglobulin G,BE0003455,Complement C3,binder,yes,Humans,C3,P01024
DB00028,Human immunoglobulin G,BE0004685,Complement C4-A,binder,yes,Humans,C4A,P0C0L4
DB00028,Human immunoglobulin G,BE0004686,Complement C4-B,binder,yes,Humans,C4B,P0C0L5
DB00028,Human immunoglobulin G,BE0000855,Complement C5,binder,yes,Humans,C5,P01031
DB00029,Anistreplase,BE0000211,Plasminogen,activator,yes,Humans,PLG,P00747
DB00029,Anistreplase,BE0000538,Fibrinogen alpha chain,,yes,Humans,FGA,P02671
DB00029,Anistreplase,BE0000240,Plasminogen activator inhibitor 1,,unknown,Humans,SERPINE1,P05121
DB00030,Insulin human,BE0000033,Insulin receptor,agonist,yes,Humans,INSR,P06213
DB00030,Insulin human,BE0000858,Insulin-like growth factor 1 receptor,activator,unknown,Humans,IGF1R,P08069
DB00030,Insulin human,BE0001123,Carboxypeptidase E,"modulator, product of",unknown,Humans,CPE,P16870
DB00030,Insulin human,BE0001147,CCN family member 3,downregulator,unknown,Humans,CCN3,P48745
DB00030,Insulin human,BE0000942,Low-density lipoprotein receptor-related protein 2,substrate,unknown,Humans,LRP2,P98164
DB00030,Insulin human,BE0002126,Insulin-like growth factor-binding protein 7,"inhibitor, binder",unknown,Humans,IGFBP7,Q16270
DB00031,Tenecteplase,BE0000211,Plasminogen,activator,yes,Humans,PLG,P00747
DB00032,Menotropins,BE0000387,Follicle-stimulating hormone receptor,binder,yes,Humans,FSHR,P23945
DB00032,Menotropins,BE0000134,Lutropin-choriogonadotropic hormone receptor,,yes,Humans,LHCGR,P22888
DB00033,Interferon gamma-1b,BE0000711,Interferon gamma receptor 1,binder,yes,Humans,IFNGR1,P15260
DB00033,Interferon gamma-1b,BE0000467,Interferon gamma receptor 2,binder,yes,Humans,IFNGR2,P38484
DB00034,Interferon alfa-2a,BE0000661,Interferon alpha/beta receptor 1,,yes,Humans,IFNAR1,P17181
DB00034,Interferon alfa-2a,BE0000385,Interferon alpha/beta receptor 2,,yes,Humans,IFNAR2,P48551
DB00035,Desmopressin,BE0000293,Vasopressin V2 receptor,agonist,yes,Humans,AVPR2,P30518
DB00035,Desmopressin,BE0000165,Vasopressin V1a receptor,agonist,yes,Humans,AVPR1A,P37288
DB00035,Desmopressin,BE0000773,Vasopressin V1b receptor,agonist,yes,Humans,AVPR1B,P47901
DB00035,Desmopressin,BE0000844,Oxytocin receptor,agonist,unknown,Humans,OXTR,P30559
DB00036,Coagulation factor VIIa Recombinant Human,BE0000216,Coagulation factor X,activator,yes,Humans,F10,P00742
DB00036,Coagulation factor VIIa Recombinant Human,BE0001178,Tissue factor,binder,yes,Humans,F3,P13726
DB00038,Oprelvekin,BE0000416,Interleukin-11 receptor subunit alpha,agonist,yes,Humans,IL11RA,Q14626
DB00039,Palifermin,BE0000748,Fibroblast growth factor receptor 2,"agonist, binder",yes,Humans,FGFR2,P21802
DB00039,Palifermin,BE0002131,Fibroblast growth factor receptor 1,agonist,unknown,Humans,FGFR1,P11362
DB00039,Palifermin,BE0001031,Basement membrane-specific heparan sulfate proteoglycan core protein,ligand,unknown,Humans,HSPG2,P98160
DB00040,Glucagon,BE0000527,Glucagon receptor,agonist,yes,Humans,GCGR,P47871
DB00040,Glucagon,BE0002134,Glucagon-like peptide 2 receptor,agonist,unknown,Humans,GLP2R,O95838
DB00040,Glucagon,BE0000857,Glucagon-like peptide 1 receptor,agonist,unknown,Humans,GLP1R,P43220
DB00041,Aldesleukin,BE0000651,Interleukin-2 receptor subunit beta,"agonist, modulator",yes,Humans,IL2RB,P14784
DB00041,Aldesleukin,BE0000658,Interleukin-2 receptor subunit alpha,"agonist, modulator",yes,Humans,IL2RA,P01589
DB00041,Aldesleukin,BE0002102,Cytokine receptor common subunit gamma,agonist,yes,Humans,IL2RG,P31785
DB00041,Aldesleukin,BE0001029,Interleukin-2,modulator,unknown,Humans,IL2,P60568
DB00042,Botulinum toxin type B,BE0002137,Vesicle-associated membrane protein 2,binder,yes,Humans,VAMP2,P63027
DB00042,Botulinum toxin type B,BE0002136,Vesicle-associated membrane protein 1,binder,yes,Humans,VAMP1,P23763
DB00042,Botulinum toxin type B,BE0002138,Synaptotagmin-2,"inhibitor, cleavage",yes,Humans,SYT2,Q8N9I0
DB00043,Omalizumab,BE0010138,Immunoglobulin heavy constant epsilon,"antibody, neutralizer",yes,Humans,IGHE,P01854
DB00043,Omalizumab,BE0000049,High affinity immunoglobulin epsilon receptor subunit gamma,modulator,unknown,Humans,FCER1G,P30273
DB00044,Lutropin alfa,BE0000134,Lutropin-choriogonadotropic hormone receptor,agonist,yes,Humans,LHCGR,P22888
DB00045,Lyme disease vaccine (recombinant OspA),BE0001164,Toll-like receptor 2,other/unknown,yes,Humans,TLR2,O60603
DB00046,Insulin lispro,BE0000033,Insulin receptor,agonist,yes,Humans,INSR,P06213
DB00046,Insulin lispro,BE0000858,Insulin-like growth factor 1 receptor,activator,unknown,Humans,IGF1R,P08069
DB00047,Insulin glargine,BE0000033,Insulin receptor,agonist,yes,Humans,INSR,P06213
DB00047,Insulin glargine,BE0003491,Insulin,modulator,unknown,Humans,INS,P01308
DB00047,Insulin glargine,BE0000858,Insulin-like growth factor 1 receptor,activator,unknown,Humans,IGF1R,P08069
DB00048,Collagenase clostridium histolyticum,BE0000025,Collagen alpha-1(I) chain,cleavage,yes,Humans,COL1A1,P02452
DB00048,Collagenase clostridium histolyticum,BE0002140,Collagen alpha-1(II) chain,cleavage,yes,Humans,COL2A1,P02458
DB00048,Collagenase clostridium histolyticum,BE0002130,Collagen alpha-1(III) chain,cleavage,yes,Humans,COL3A1,P02461
DB00049,Rasburicase,BE0004823,Uric acid,metabolizer,yes,,,
DB00050,Cetrorelix,BE0000203,Gonadotropin-releasing hormone receptor,antagonist,yes,Humans,GNRHR,P30968
DB00051,Adalimumab,BE0000704,Tumor necrosis factor,"inhibitor, antibody",yes,Humans,TNF,P01375
DB00052,Somatotropin,BE0000075,Growth hormone receptor,ligand,yes,Humans,GHR,P10912
DB00052,Somatotropin,BE0000345,Prolactin receptor,ligand,yes,Humans,PRLR,P16471
DB00053,Imiglucerase,BE0004806,Glucocerebroside,other/unknown,yes,,,
DB00054,Abciximab,BE0001155,Integrin beta-3,antagonist,yes,Humans,ITGB3,P05106
DB00054,Abciximab,BE0000439,Integrin alpha-IIb,antagonist,yes,Humans,ITGA2B,P08514
DB00054,Abciximab,BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,,unknown,Humans,FCGR2A,P12318
DB00054,Abciximab,BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,,unknown,Humans,FCGR2B,P31994
DB00054,Abciximab,BE0001068,Vitronectin,,unknown,Humans,VTN,P04004
DB00055,Drotrecogin alfa,BE0000016,Coagulation factor VIII,inhibitor,yes,Humans,F8,P00451
DB00055,Drotrecogin alfa,BE0000041,Coagulation factor V,inhibitor,yes,Humans,F5,P12259
DB00055,Drotrecogin alfa,BE0000240,Plasminogen activator inhibitor 1,,unknown,Humans,SERPINE1,P05121
DB00055,Drotrecogin alfa,BE0001151,Thrombomodulin,,unknown,Humans,THBD,P07204
DB00055,Drotrecogin alfa,BE0000943,Vitamin K-dependent protein S,,unknown,Humans,PROS1,P07225
DB00055,Drotrecogin alfa,BE0000048,Prothrombin,,unknown,Humans,F2,P00734
DB00055,Drotrecogin alfa,BE0001129,Platelet factor 4,,unknown,Humans,PF4,P02776
DB00055,Drotrecogin alfa,BE0002112,Plasma serine protease inhibitor,,unknown,Humans,SERPINA5,P05154
DB00055,Drotrecogin alfa,BE0002142,Serpin B6,,unknown,Humans,SERPINB6,P35237
DB00055,Drotrecogin alfa,BE0001161,Endothelial protein C receptor,,unknown,Humans,PROCR,Q9UNN8
DB00056,Gemtuzumab ozogamicin,BE0000674,Myeloid cell surface antigen CD33,"antibody, regulator",yes,Humans,CD33,P20138
DB00056,Gemtuzumab ozogamicin,BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,binder,no,Humans,FCGR3B,O75015
DB00056,Gemtuzumab ozogamicin,BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,binder,no,Humans,FCGR3A,P08637
DB00056,Gemtuzumab ozogamicin,BE0000710,High affinity immunoglobulin gamma Fc receptor I,binder,no,Humans,FCGR1A,P12314
DB00057,Indium In-111 satumomab pendetide,BE0004842,Tumor-associated glycoprotein 72 (TAG-72),other/unknown,yes,,,
DB00058,Alpha-1-proteinase inhibitor,BE0000394,Neutrophil elastase,inhibitor,yes,Humans,ELANE,P08246
DB00059,Pegaspargase,BE0004798,L-asparagine,substrate,yes,,,
DB00060,Interferon beta-1a,BE0000661,Interferon alpha/beta receptor 1,agonist,yes,Humans,IFNAR1,P17181
DB00060,Interferon beta-1a,BE0000385,Interferon alpha/beta receptor 2,agonist,yes,Humans,IFNAR2,P48551
DB00060,Interferon beta-1a,BE0000926,Interferon beta,modulator,unknown,Humans,IFNB1,P01574
DB00061,Pegademase,BE0004828,Adenosine,metabolizer,yes,,,
DB00061,Pegademase,BE0000917,Growth factor receptor-bound protein 2,binder,unknown,Humans,GRB2,P62993
DB00062,Albumin human,BE0009576,Nitric oxide,binder,unknown,,,
DB00063,Eptifibatide,BE0001155,Integrin beta-3,modulator,yes,Humans,ITGB3,P05106
DB00063,Eptifibatide,BE0000439,Integrin alpha-IIb,modulator,unknown,Humans,ITGA2B,P08514
DB00063,Eptifibatide,BE0009351,Voltage-dependent N-type calcium channel,antagonist,unknown,Humans,CACNA2D1,P54289
DB00065,Infliximab,BE0000704,Tumor necrosis factor,inhibitor,yes,Humans,TNF,P01375
DB00066,Follitropin,BE0000387,Follicle-stimulating hormone receptor,agonist,yes,Humans,FSHR,P23945
DB00067,Vasopressin,BE0000293,Vasopressin V2 receptor,"agonist, regulator",yes,Humans,AVPR2,P30518
DB00067,Vasopressin,BE0000165,Vasopressin V1a receptor,"agonist, regulator",yes,Humans,AVPR1A,P37288
DB00067,Vasopressin,BE0000773,Vasopressin V1b receptor,agonist,yes,Humans,AVPR1B,P47901
DB00067,Vasopressin,BE0000844,Oxytocin receptor,agonist,yes,Humans,OXTR,P30559
DB00068,Interferon beta-1b,BE0000661,Interferon alpha/beta receptor 1,agonist,yes,Humans,IFNAR1,P17181
DB00068,Interferon beta-1b,BE0000385,Interferon alpha/beta receptor 2,agonist,yes,Humans,IFNAR2,P48551
DB00069,Interferon alfacon-1,BE0000661,Interferon alpha/beta receptor 1,binder,yes,Humans,IFNAR1,P17181
DB00069,Interferon alfacon-1,BE0000385,Interferon alpha/beta receptor 2,binder,yes,Humans,IFNAR2,P48551
DB00070,Hyaluronidase (ovine),BE0000984,Transforming growth factor beta-1 proprotein,inhibitor,unknown,Humans,TGFB1,P01137
DB00071,Insulin pork,BE0000033,Insulin receptor,binder,yes,Humans,INSR,P06213
DB00071,Insulin pork,BE0000858,Insulin-like growth factor 1 receptor,,unknown,Humans,IGF1R,P08069
DB00072,Trastuzumab,BE0000511,Receptor tyrosine-protein kinase erbB-2,"binder, antibody",yes,Humans,ERBB2,P04626
DB00073,Rituximab,BE0000066,B-lymphocyte antigen CD20,"antibody, regulator",yes,Humans,MS4A1,P11836
DB00074,Basiliximab,BE0000658,Interleukin-2 receptor subunit alpha,antibody,yes,Humans,IL2RA,P01589
DB00074,Basiliximab,BE0000651,Interleukin-2 receptor subunit beta,antibody,unknown,Humans,IL2RB,P14784
DB00075,Muromonab,BE0003456,T-cell surface glycoprotein CD3 delta chain,,yes,Humans,CD3D,P04234
DB00075,Muromonab,BE0000274,T-cell surface glycoprotein CD3 epsilon chain,binder,yes,Humans,CD3E,P07766
DB00075,Muromonab,BE0003457,T-cell surface glycoprotein CD3 gamma chain,,yes,Humans,CD3G,P09693
DB00075,Muromonab,BE0003458,T-cell surface glycoprotein CD3 zeta chain,,yes,Humans,CD247,P20963
DB00075,Muromonab,BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,,unknown,Humans,FCGR3B,O75015
DB00076,Digoxin Immune Fab (Ovine),BE0004837,Digoxin,neutralizer,yes,,,
DB00078,Ibritumomab tiuxetan,BE0000066,B-lymphocyte antigen CD20,"antibody, regulator",yes,Humans,MS4A1,P11836
DB00080,Daptomycin,BE0010021,Cytoplasmic membrane,incorporation into and destabilization,yes,,,
DB00080,Daptomycin,BE0000803,Dihydropteroate synthase,binder,unknown,Escherichia coli (strain K12),folP,P0AC13
DB00081,Tositumomab,BE0000066,B-lymphocyte antigen CD20,antibody,yes,Humans,MS4A1,P11836
DB00081,Tositumomab,BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,,unknown,Humans,FCGR2B,P31994
DB00082,Pegvisomant,BE0000075,Growth hormone receptor,antagonist,yes,Humans,GHR,P10912
DB00083,Botulinum toxin type A,BE0000390,Synaptosomal-associated protein 25,inhibitor,yes,Humans,SNAP25,P60880
DB00083,Botulinum toxin type A,BE0003572,Rho-related GTP-binding protein RhoB,inhibitor,unknown,Humans,RHOB,P62745
DB00085,Pancrelipase,BE0004834,Dietary fat,cleavage,yes,,,
DB00085,Pancrelipase,BE0004835,Dietary protein,cleavage,yes,,,
DB00085,Pancrelipase,BE0004836,Dietary starch,cleavage,yes,,,
DB00086,Streptokinase,BE0000211,Plasminogen,activator,yes,Humans,PLG,P00747
DB00086,Streptokinase,BE0000928,Proteinase-activated receptor 1,activator,unknown,Humans,F2R,P25116
DB00087,Alemtuzumab,BE0000083,CAMPATH-1 antigen,antibody,yes,Humans,CD52,P31358
DB00087,Alemtuzumab,BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,binder,yes,Humans,FCGR3B,O75015
DB00087,Alemtuzumab,BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,binder,unknown,Humans,FCGR3A,P08637
DB00087,Alemtuzumab,BE0000710,High affinity immunoglobulin gamma Fc receptor I,binder,yes,Humans,FCGR1A,P12314
DB00087,Alemtuzumab,BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,binder,unknown,Humans,FCGR2A,P12318
DB00087,Alemtuzumab,BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,binder,yes,Humans,FCGR2B,P31994
DB00087,Alemtuzumab,BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,binder,yes,Humans,FCGR2C,P31995
DB00088,Alglucerase,BE0004806,Glucocerebroside,other/unknown,yes,,,
DB00089,Capromab pendetide,BE0000568,Glutamate carboxypeptidase 2,other/unknown,yes,Humans,FOLH1,Q04609
DB00090,Laronidase,BE0004822,Iduronic acid,other/unknown,yes,,,
DB00091,Cyclosporine,BE0000379,Guided entry of tail-anchored proteins factor CAMLG,binder,yes,Humans,CAMLG,P49069
DB00091,Cyclosporine,BE0002143,Calcineurin subunit B type 2,inhibitor,yes,Humans,PPP3R2,Q96LZ3
DB00091,Cyclosporine,BE0001014,Peptidyl-prolyl cis-trans isomerase A,"inhibitor, binder",yes,Humans,PPIA,P62937
DB00091,Cyclosporine,BE0001399,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",binder,yes,Humans,PPIF,P30405
DB00091,Cyclosporine,BE0004238,Protein phosphatase 3 catalytic subunit alpha,inhibitor,unknown,Humans,PPP3CA,Q08209
DB00092,Alefacept,BE0000719,T-cell surface antigen CD2,"inhibitor, antibody, regulator",yes,Humans,CD2,P06729
DB00092,Alefacept,BE0010569,Lymphocyte function-associated antigen 3,modulator,unknown,Humans,CD58,P19256
DB00092,Alefacept,BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,,unknown,Humans,FCGR3A,P08637
DB00092,Alefacept,BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,,unknown,Humans,FCGR3B,O75015
DB00093,Felypressin,BE0000165,Vasopressin V1a receptor,agonist,yes,Humans,AVPR1A,P37288
DB00094,Urofollitropin,BE0000387,Follicle-stimulating hormone receptor,agonist,yes,Humans,FSHR,P23945
DB00095,Efalizumab,BE0009967,Integrin alpha-X,antibody,yes,Humans,ITGAX,P20702
DB00095,Efalizumab,BE0000516,Integrin alpha-L,antibody,yes,Humans,ITGAL,P20701
DB00097,Choriogonadotropin alfa,BE0000387,Follicle-stimulating hormone receptor,binder,yes,Humans,FSHR,P23945
DB00097,Choriogonadotropin alfa,BE0000134,Lutropin-choriogonadotropic hormone receptor,agonist,yes,Humans,LHCGR,P22888
DB00098,Antithymocyte immunoglobulin (rabbit),BE0003573,Major histocompatibility complex class I-related protein 1,antagonist,yes,Humans,MR1,Q95460
DB00098,Antithymocyte immunoglobulin (rabbit),BE0000846,T-lymphocyte activation antigen CD86,binder,yes,Humans,CD86,P42081
DB00098,Antithymocyte immunoglobulin (rabbit),BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,inducer,yes,Humans,FCGR2B,P31994
DB00098,Antithymocyte immunoglobulin (rabbit),BE0000516,Integrin alpha-L,inducer,yes,Humans,ITGAL,P20701
DB00098,Antithymocyte immunoglobulin (rabbit),BE0003576,Integrin alpha-V,inducer,yes,Humans,ITGAV,P06756
DB00098,Antithymocyte immunoglobulin (rabbit),BE0003575,Integrin beta-1,inducer,yes,Humans,ITGB1,P05556
DB00098,Antithymocyte immunoglobulin (rabbit),BE0001155,Integrin beta-3,inducer,yes,Humans,ITGB3,P05106
DB00098,Antithymocyte immunoglobulin (rabbit),BE0000598,T-cell surface glycoprotein CD1a,inhibitor,unknown,Humans,CD1A,P06126
DB00098,Antithymocyte immunoglobulin (rabbit),BE0003488,T-cell surface glycoprotein CD4,inducer,yes,Humans,CD4,P01730
DB00099,Filgrastim,BE0000793,Granulocyte colony-stimulating factor receptor,stimulator,yes,Humans,CSF3R,Q99062
DB00100,Coagulation Factor IX (Recombinant),BE0000216,Coagulation factor X,activator,yes,Humans,F10,P00742
DB00100,Coagulation Factor IX (Recombinant),BE0001021,Coagulation factor XI,ligand,yes,Humans,F11,P03951
DB00100,Coagulation Factor IX (Recombinant),BE0000333,Coagulation factor VII,ligand,yes,Humans,F7,P08709
