drugbank_id,drug_name,transporter_id,transporter_name,actions,organism,gene_name,uniprot_id
DB00175,Pravastatin,BE0001066,Solute carrier family 22 member 6,inhibitor,Humans,SLC22A6,Q4U2R8
DB00175,Pravastatin,BE0003645,Organic anion transporter 3,"substrate, inhibitor",Humans,SLC22A8,Q8TCC7
DB00175,Pravastatin,BE0001069,ATP-binding cassette sub-family C member 2,substrate,Humans,ABCC2,Q92887
DB00175,Pravastatin,BE0000879,Solute carrier family 22 member 11,substrate,Humans,SLC22A11,Q9NSA0
DB00175,Pravastatin,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,substrate,Humans,ABCG2,Q9UNQ0
DB00175,Pravastatin,BE0003646,Solute carrier family 22 member 7,substrate,Humans,SLC22A7,Q9Y694
DB00175,Pravastatin,BE0000669,Monocarboxylate transporter 1,substrate,Humans,SLC16A1,P53985
DB00175,Pravastatin,BE0000703,Bile salt export pump,substrate,Humans,ABCB11,O95342
DB00175,Pravastatin,BE0003659,Solute carrier organic anion transporter family member 1B3,substrate,Humans,SLCO1B3,Q9NPD5
DB00176,Fluvoxamine,BE0001032,ATP-dependent translocase ABCB1,inhibitor,Humans,ABCB1,P08183
DB00176,Fluvoxamine,BE0000703,Bile salt export pump,substrate,Humans,ABCB11,O95342
DB00177,Valsartan,BE0003659,Solute carrier organic anion transporter family member 1B3,substrate,Humans,SLCO1B3,Q9NPD5
DB00177,Valsartan,BE0001004,Solute carrier organic anion transporter family member 1B1,"substrate, inhibitor",Humans,SLCO1B1,Q9Y6L6
DB00177,Valsartan,BE0001069,ATP-binding cassette sub-family C member 2,substrate,Humans,ABCC2,Q92887
DB00178,Ramipril,BE0001018,Solute carrier family 15 member 1,substrate,Humans,SLC15A1,P46059
DB00178,Ramipril,BE0001134,Solute carrier family 15 member 2,substrate,Humans,SLC15A2,Q16348
DB00182,Amphetamine,BE0003650,Solute carrier family 22 member 3,substrate,Humans,SLC22A3,O75751
DB00182,Amphetamine,BE0000106,Organic cation/carnitine transporter 2,substrate,Humans,SLC22A5,O76082
DB00184,Nicotine,BE0003647,Solute carrier family 22 member 2,inhibitor,Humans,SLC22A2,O15244
DB00184,Nicotine,BE0003648,Solute carrier family 22 member 1,inhibitor,Humans,SLC22A1,O15245
DB00184,Nicotine,BE0003650,Solute carrier family 22 member 3,inhibitor,Humans,SLC22A3,O75751
DB00184,Nicotine,BE0000106,Organic cation/carnitine transporter 2,inhibitor,Humans,SLC22A5,O76082
DB00184,Nicotine,BE0000757,Solute carrier family 22 member 4,inhibitor,Humans,SLC22A4,Q9H015
DB00188,Bortezomib,BE0001032,ATP-dependent translocase ABCB1,substrate,Humans,ABCB1,P08183
DB00188,Bortezomib,BE0003659,Solute carrier organic anion transporter family member 1B3,inhibitor,Humans,SLCO1B3,Q9NPD5
DB00196,Fluconazole,BE0001032,ATP-dependent translocase ABCB1,inhibitor,Humans,ABCB1,P08183
DB00197,Troglitazone,BE0000703,Bile salt export pump,inhibitor,Humans,ABCB11,O95342
DB00197,Troglitazone,BE0001004,Solute carrier organic anion transporter family member 1B1,inhibitor,Humans,SLCO1B1,Q9Y6L6
DB00198,Oseltamivir,BE0001188,ATP-binding cassette sub-family C member 4,substrate,Humans,ABCC4,O15439
DB00198,Oseltamivir,BE0001018,Solute carrier family 15 member 1,substrate,Humans,SLC15A1,P46059
DB00198,Oseltamivir,BE0003645,Organic anion transporter 3,substrate,Humans,SLC22A8,Q8TCC7
DB00199,Erythromycin,BE0003659,Solute carrier organic anion transporter family member 1B3,"substrate, inhibitor",Humans,SLCO1B3,Q9NPD5
DB00199,Erythromycin,BE0000703,Bile salt export pump,"substrate, inhibitor",Humans,ABCB11,O95342
DB00199,Erythromycin,BE0001032,ATP-dependent translocase ABCB1,"substrate, inhibitor",Humans,ABCB1,P08183
DB00199,Erythromycin,BE0001004,Solute carrier organic anion transporter family member 1B1,"substrate, inhibitor",Humans,SLCO1B1,Q9Y6L6
DB00199,Erythromycin,BE0001069,ATP-binding cassette sub-family C member 2,substrate,Humans,ABCC2,Q92887
DB00199,Erythromycin,BE0003642,Solute carrier organic anion transporter family member 1A2,"substrate, inhibitor",Humans,SLCO1A2,P46721
DB00201,Caffeine,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,inhibitor,Humans,ABCG2,Q9UNQ0
DB00203,Sildenafil,BE0001188,ATP-binding cassette sub-family C member 4,inhibitor,Humans,ABCC4,O15439
DB00203,Sildenafil,BE0003639,ATP-binding cassette sub-family C member 5,inhibitor,Humans,ABCC5,O15440
DB00203,Sildenafil,BE0003651,ATP-binding cassette sub-family C member 10,inhibitor,Humans,ABCC10,Q5T3U5
DB00203,Sildenafil,BE0001004,Solute carrier organic anion transporter family member 1B1,inhibitor,Humans,SLCO1B1,Q9Y6L6
DB00203,Sildenafil,BE0001032,ATP-dependent translocase ABCB1,"substrate, inhibitor",Humans,ABCB1,P08183
DB00204,Dofetilide,BE0003647,Solute carrier family 22 member 2,substrate,Humans,SLC22A2,O15244
DB00205,Pyrimethamine,BE0003657,Multidrug and toxin extrusion protein 1,inhibitor,Humans,SLC47A1,Q96FL8
DB00205,Pyrimethamine,BE0004752,Multidrug and toxin extrusion protein 2,inhibitor,Humans,SLC47A2,Q86VL8
DB00206,Reserpine,BE0001032,ATP-dependent translocase ABCB1,"substrate, inhibitor, inducer",Humans,ABCB1,P08183
DB00206,Reserpine,BE0003648,Solute carrier family 22 member 1,inhibitor,Humans,SLC22A1,O15245
DB00206,Reserpine,BE0000703,Bile salt export pump,inhibitor,Humans,ABCB11,O95342
DB00206,Reserpine,BE0001069,ATP-binding cassette sub-family C member 2,inhibitor,Humans,ABCC2,Q92887
DB00206,Reserpine,BE0003647,Solute carrier family 22 member 2,substrate,Humans,SLC22A2,O15244
DB00206,Reserpine,BE0001004,Solute carrier organic anion transporter family member 1B1,inhibitor,Humans,SLCO1B1,Q9Y6L6
DB00206,Reserpine,BE0001042,Solute carrier organic anion transporter family member 2B1,inhibitor,Humans,SLCO2B1,O94956
DB00207,Azithromycin,BE0001032,ATP-dependent translocase ABCB1,"substrate, inhibitor",Humans,ABCB1,P08183
DB00207,Azithromycin,BE0001069,ATP-binding cassette sub-family C member 2,"substrate, inhibitor",Humans,ABCC2,Q92887
DB00211,Midodrine,BE0001018,Solute carrier family 15 member 1,,Humans,SLC15A1,P46059
DB00213,Pantoprazole,BE0001032,ATP-dependent translocase ABCB1,"substrate, inhibitor",Humans,ABCB1,P08183
DB00213,Pantoprazole,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,"substrate, inhibitor",Humans,ABCG2,Q9UNQ0
DB00213,Pantoprazole,BE0003645,Organic anion transporter 3,inhibitor,Humans,SLC22A8,Q8TCC7
DB00214,Torasemide,BE0001004,Solute carrier organic anion transporter family member 1B1,substrate,Humans,SLCO1B1,Q9Y6L6
DB00215,Citalopram,BE0001032,ATP-dependent translocase ABCB1,"substrate, inhibitor",Humans,ABCB1,P08183
DB00216,Eletriptan,BE0001032,ATP-dependent translocase ABCB1,substrate,Humans,ABCB1,P08183
DB00220,Nelfinavir,BE0001032,ATP-dependent translocase ABCB1,"substrate, inhibitor, inducer",Humans,ABCB1,P08183
DB00220,Nelfinavir,BE0003648,Solute carrier family 22 member 1,inhibitor,Humans,SLC22A1,O15245
DB00220,Nelfinavir,BE0003642,Solute carrier organic anion transporter family member 1A2,inhibitor,Humans,SLCO1A2,P46721
DB00220,Nelfinavir,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,inhibitor,Humans,ABCG2,Q9UNQ0
DB00220,Nelfinavir,BE0001004,Solute carrier organic anion transporter family member 1B1,inhibitor,Humans,SLCO1B1,Q9Y6L6
DB00220,Nelfinavir,BE0003659,Solute carrier organic anion transporter family member 1B3,inhibitor,Humans,SLCO1B3,Q9NPD5
DB00220,Nelfinavir,BE0001042,Solute carrier organic anion transporter family member 2B1,inhibitor,Humans,SLCO2B1,O94956
DB00220,Nelfinavir,BE0000703,Bile salt export pump,substrate,Humans,ABCB11,O95342
DB00222,Glimepiride,BE0000703,Bile salt export pump,substrate,Humans,ABCB11,O95342
DB00224,Indinavir,BE0001032,ATP-dependent translocase ABCB1,"substrate, inhibitor, inducer",Humans,ABCB1,P08183
DB00224,Indinavir,BE0003648,Solute carrier family 22 member 1,inhibitor,Humans,SLC22A1,O15245
DB00224,Indinavir,BE0000785,Multidrug resistance-associated protein 1,inhibitor,Humans,ABCC1,P33527
DB00224,Indinavir,BE0003642,Solute carrier organic anion transporter family member 1A2,inhibitor,Humans,SLCO1A2,P46721
DB00224,Indinavir,BE0001004,Solute carrier organic anion transporter family member 1B1,inhibitor,Humans,SLCO1B1,Q9Y6L6
DB00224,Indinavir,BE0001069,ATP-binding cassette sub-family C member 2,substrate,Humans,ABCC2,Q92887
DB00224,Indinavir,BE0001042,Solute carrier organic anion transporter family member 2B1,inhibitor,Humans,SLCO2B1,O94956
DB00224,Indinavir,BE0000703,Bile salt export pump,substrate,Humans,ABCB11,O95342
DB00227,Lovastatin,BE0001032,ATP-dependent translocase ABCB1,inhibitor,Humans,ABCB1,P08183
DB00227,Lovastatin,BE0003642,Solute carrier organic anion transporter family member 1A2,inhibitor,Humans,SLCO1A2,P46721
DB00227,Lovastatin,BE0001004,Solute carrier organic anion transporter family member 1B1,"substrate, inhibitor",Humans,SLCO1B1,Q9Y6L6
