drugbank_id,drug_name,carrier_id,carrier_name,actions,organism,gene_name,uniprot_id
DB01195,Flecainide,BE0004879,alpha1-acid glycoprotein,binder,Humans,ORM1,P02763
DB01195,Flecainide,BE0000530,Albumin,binder,Humans,ALB,P02768
DB01197,Captopril,BE0000530,Albumin,other/unknown,Humans,ALB,P02768
DB01203,Nadolol,BE0004879,alpha1-acid glycoprotein,binder,Humans,ORM1,P02763
DB01212,Ceftriaxone,BE0000530,Albumin,other/unknown,Humans,ALB,P02768
DB01219,Dantrolene,BE0000537,Thyroxine-binding globulin,substrate,Humans,SERPINA7,P05543
DB01222,Budesonide,BE0000209,Corticosteroid-binding globulin,binder,Humans,SERPINA6,P08185
DB01222,Budesonide,BE0000530,Albumin,binder,Humans,ALB,P02768
DB01232,Saquinavir,BE0000925,Alpha-1-acid glycoprotein 1,,Humans,ORM1,P02763
DB01232,Saquinavir,BE0000530,Albumin,,Humans,ALB,P02768
DB01233,Metoclopramide,BE0000925,Alpha-1-acid glycoprotein 1,binder,Humans,ORM1,P02763
DB01234,Dexamethasone,BE0000530,Albumin,binder,Humans,ALB,P02768
DB01235,Levodopa,BE0000530,Albumin,binder,Humans,ALB,P02768
DB01236,Sevoflurane,BE0000530,Albumin,binder,Humans,ALB,P02768
DB01238,Aripiprazole,BE0000530,Albumin,binder,Humans,ALB,P02768
DB01241,Gemfibrozil,BE0000530,Albumin,binder,Humans,ALB,P02768
DB01242,Clomipramine,BE0000530,Albumin,substrate,Humans,ALB,P02768
DB01264,Darunavir,BE0000530,Albumin,substrate,Humans,ALB,P02768
DB01264,Darunavir,BE0000925,Alpha-1-acid glycoprotein 1,substrate,Humans,ORM1,P02763
DB01275,Hydralazine,BE0000530,Albumin,binder,Humans,ALB,P02768
DB01276,Exenatide,BE0000530,Albumin,,Humans,ALB,P02768
DB01277,Mecasermin,BE0000970,Insulin-like growth factor-binding protein 3,carrier,Humans,IGFBP3,P17936
DB01277,Mecasermin,BE0009058,Insulin-like growth factor-binding protein complex acid labile subunit,carrier,Humans,IGFALS,P35858
DB01277,Mecasermin,BE0009658,Insulin-like growth factor-binding protein 1,carrier,Humans,IGFBP1,P08833
DB01277,Mecasermin,BE0009659,Insulin-like growth factor-binding protein 2,carrier,Humans,IGFBP2,P18065
DB01277,Mecasermin,BE0009660,Insulin-like growth factor-binding protein 4,carrier,Humans,IGFBP4,P22692
DB01277,Mecasermin,BE0009661,Insulin-like growth factor-binding protein 5,carrier,Humans,IGFBP5,P24593
DB01277,Mecasermin,BE0009662,Insulin-like growth factor-binding protein 6,carrier,Humans,IGFBP6,P24592
DB01280,Nelarabine,BE0001204,Equilibrative nucleoside transporter 1,substrate,Humans,SLC29A1,Q99808
DB01294,Bismuth subsalicylate,BE0000530,Albumin,binder,Humans,ALB,P02768
DB01294,Bismuth subsalicylate,BE0000510,Serotransferrin,,Humans,TF,P02787
DB01307,Insulin detemir,BE0000530,Albumin,binder,Humans,ALB,P02768
DB01320,Fosphenytoin,BE0000530,Albumin,other/unknown,Humans,ALB,P02768
DB01320,Fosphenytoin,BE0000537,Thyroxine-binding globulin,substrate,Humans,SERPINA7,P05543
DB01324,Polythiazide,BE0000530,Albumin,binder,Humans,ALB,P02768
DB01327,Cefazolin,BE0000530,Albumin,other/unknown,Humans,ALB,P02768
DB01328,Cefonicid,BE0000530,Albumin,other/unknown,Humans,ALB,P02768
DB01329,Cefoperazone,BE0000530,Albumin,other/unknown,Humans,ALB,P02768
DB01330,Cefotetan,BE0000530,Albumin,,Humans,ALB,P02768
DB01359,Penbutolol,BE0000925,Alpha-1-acid glycoprotein 1,other/unknown,Humans,ORM1,P02763
DB01364,Ephedrine,BE0000530,Albumin,binder,Humans,ALB,P02768
DB01370,Aluminium,BE0000530,Albumin,,Humans,ALB,P02768
DB01380,Cortisone acetate,BE0000209,Corticosteroid-binding globulin,binder,Humans,SERPINA6,P08185
DB01380,Cortisone acetate,BE0000530,Albumin,binder,Humans,ALB,P02768
DB01384,Paramethasone,BE0000209,Corticosteroid-binding globulin,binder,Humans,SERPINA6,P08185
DB01394,Colchicine,BE0000530,Albumin,binder,Humans,ALB,P02768
DB01396,Digitoxin,BE0000530,Albumin,,Humans,ALB,P02768
DB01397,Magnesium salicylate,BE0000530,Albumin,,Humans,ALB,P02768
DB01406,Danazol,BE0000685,Sex hormone-binding globulin,antagonist,Humans,SHBG,P04278
DB01410,Ciclesonide,BE0000209,Corticosteroid-binding globulin,binder,Humans,SERPINA6,P08185
DB01418,Acenocoumarol,BE0000530,Albumin,,Humans,ALB,P02768
DB01418,Acenocoumarol,BE0000925,Alpha-1-acid glycoprotein 1,,Humans,ORM1,P02763
DB01420,Testosterone propionate,BE0000685,Sex hormone-binding globulin,substrate,Humans,SHBG,P04278
DB01420,Testosterone propionate,BE0000530,Albumin,substrate,Humans,ALB,P02768
DB01426,Ajmaline,BE0000925,Alpha-1-acid glycoprotein 1,,Humans,ORM1,P02763
DB01429,Aprindine,BE0000925,Alpha-1-acid glycoprotein 1,,Humans,ORM1,P02763
DB01436,Alfacalcidol,BE0001141,Vitamin D-binding protein,substrate,Humans,GC,P02774
DB01436,Alfacalcidol,BE0010059,Alpha globin,binder,Humans,,V9H1D9
DB01452,Diamorphine,BE0000537,Thyroxine-binding globulin,inducer,Humans,SERPINA7,P05543
DB01581,Sulfamerazine,BE0000530,Albumin,,Humans,ALB,P02768
DB01582,Sulfamethazine,BE0000530,Albumin,,Humans,ALB,P02768
DB01583,Liotrix,BE0000337,Transthyretin,,Humans,TTR,P02766
DB01583,Liotrix,BE0000537,Thyroxine-binding globulin,substrate,Humans,SERPINA7,P05543
DB01583,Liotrix,BE0000530,Albumin,,Humans,ALB,P02768
DB01587,Ketazolam,BE0000530,Albumin,,Humans,ALB,P02768
DB01591,Solifenacin,BE0004879,alpha1-acid glycoprotein,binder,Humans,ORM1,P02763
DB01601,Lopinavir,BE0000925,Alpha-1-acid glycoprotein 1,substrate,Humans,ORM1,P02763
DB01601,Lopinavir,BE0000530,Albumin,substrate,Humans,ALB,P02768
DB01611,Hydroxychloroquine,BE0000530,Albumin,binder,Humans,ALB,P02768
DB01611,Hydroxychloroquine,BE0004879,alpha1-acid glycoprotein,binder,Humans,ORM1,P02763
DB01614,Acepromazine,BE0000530,Albumin,,Humans,ALB,P02768
DB01619,Phenindamine,BE0000530,Albumin,"binder, regulator",Humans,ALB,P02768
DB01621,Pipotiazine,BE0000530,Albumin,,Humans,ALB,P02768
DB01622,Thioproperazine,BE0000530,Albumin,,Humans,ALB,P02768
DB01623,Thiothixene,BE0000530,Albumin,,Humans,ALB,P02768
DB01627,Lincomycin,BE0000925,Alpha-1-acid glycoprotein 1,binder,Humans,ORM1,P02763
DB01629,5-fluorouridine,BE0000537,Thyroxine-binding globulin,inducer,Humans,SERPINA7,P05543
DB01645,Genistein,BE0000337,Transthyretin,,Humans,TTR,P02766
DB01685,Topiroxostat,BE0000530,Albumin,binder,Humans,ALB,P02768
DB01685,Topiroxostat,BE0000925,Alpha-1-acid glycoprotein 1,binder,Humans,ORM1,P02763
DB01751,Tetraiodothyroacetic acid,BE0000337,Transthyretin,,Humans,TTR,P02766
DB01838,"6,4'-Dihydroxy-3-Methyl-3',5'-Dibromoflavone",BE0000337,Transthyretin,,Humans,TTR,P02766
DB01914,D-glucose,BE0000530,Albumin,binder,Humans,ALB,P02768
DB02074,Butenoic Acid,BE0003998,"Fatty acid-binding protein, liver",,Humans,FABP1,P07148
DB02080,"1-{2-[2-(2-Methoxyethoxy)Ethoxy]Ethoxy}-4-(1,1,3,3-Tetramethylbutyl)Benzene",BE0000643,Alpha-tocopherol transfer protein,,Humans,TTPA,P49638
DB02153,3-sulfino-L-alanine,BE0001194,"Fatty acid-binding protein, adipocyte",,Humans,FABP4,P15090
DB02179,O-Trifluoromethylphenyl Anthranilic Acid,BE0000337,Transthyretin,,Humans,TTR,P02766
DB02216,S-Methylcysteine,BE0003998,"Fatty acid-binding protein, liver",,Humans,FABP1,P07148
DB02266,Flufenamic acid,BE0000337,Transthyretin,,Humans,TTR,P02766
DB02342,2-Methoxyestradiol,BE0000685,Sex hormone-binding globulin,,Humans,SHBG,P04278
DB02417,"2,4,6-Tribromophenol",BE0000337,Transthyretin,,Humans,TTR,P02766
DB02659,Cholic Acid,BE0003998,"Fatty acid-binding protein, liver",,Humans,FABP1,P07148
DB02698,"N-(M-Trifluoromethylphenyl) Phenoxazine-4,6-Dicarboxylic Acid",BE0000337,Transthyretin,,Humans,TTR,P02766
DB02709,Resveratrol,BE0000337,Transthyretin,,Humans,TTR,P02766
DB02709,Resveratrol,BE0000530,Albumin,,Humans,ALB,P02768
DB02776,1-Hexadecanosulfonic Acid,BE0001194,"Fatty acid-binding protein, adipocyte",,Humans,FABP4,P15090
DB02901,Stanolone,BE0000685,Sex hormone-binding globulin,,Humans,SHBG,P04278
DB03009,2-{[2-Oxo-2-(1-piperidinyl)ethyl]sulfanyl}-6-(trifluoromethyl)-4(1H)-pyrimidinone,BE0001194,"Fatty acid-binding protein, adipocyte",,Humans,FABP4,P15090
DB03017,Lauric acid,BE0000530,Albumin,,Humans,ALB,P02768
DB03167,Pentabromophenol,BE0000337,Transthyretin,,Humans,TTR,P02766
DB03193,Stearic acid,BE0001201,"Fatty acid-binding protein, heart",,Humans,FABP3,P05413
DB03193,Stearic acid,BE0000530,Albumin,,Humans,ALB,P02768
DB03239,"3',5'-Dinitro-N-Acetyl-L-Thyronine",BE0000337,Transthyretin,,Humans,TTR,P02766
DB03346,"3,3',5,5'-tetrachlorobiphenyl-4,4'-diol",BE0000337,Transthyretin,,Humans,TTR,P02766
DB03585,Oxyphenbutazone,BE0000530,Albumin,,Humans,ALB,P02768
DB03600,Capric acid,BE0000530,Albumin,,Humans,ALB,P02768
DB03682,"Dibenzofuran-4,6-Dicarboxylic Acid",BE0000337,Transthyretin,,Humans,TTR,P02766
DB03766,Propanoic acid,BE0001194,"Fatty acid-binding protein, adipocyte",,Humans,FABP4,P15090
DB03796,Palmitic Acid,BE0000530,Albumin,,Humans,ALB,P02768
DB03796,Palmitic Acid,BE0001194,"Fatty acid-binding protein, adipocyte",,Humans,FABP4,P15090
DB03796,Palmitic Acid,BE0001984,Fatty acid-binding protein 5,,Humans,FABP5,Q01469
DB03796,Palmitic Acid,BE0001201,"Fatty acid-binding protein, heart",,Humans,FABP3,P05413
DB03796,Palmitic Acid,BE0003591,"Fatty acid-binding protein, intestinal",,Humans,FABP2,P12104
DB03851,Carbazole Butanoic Acid,BE0001194,"Fatty acid-binding protein, adipocyte",,Humans,FABP4,P15090
DB03882,"5-Alpha-Androstane-3-Beta,17beta-Diol",BE0000685,Sex hormone-binding globulin,,Humans,SHBG,P04278
DB03917,N-Ethylretinamide,BE0000314,Retinol-binding protein 4,,Humans,RBP4,P02753
DB03926,"5alpha-androstane-3beta,17alpha-diol",BE0000685,Sex hormone-binding globulin,,Humans,SHBG,P04278
DB04216,Quercetin,BE0000530,Albumin,,Humans,ALB,P02768
DB04224,Oleic Acid,BE0001201,"Fatty acid-binding protein, heart",,Humans,FABP3,P05413
DB04224,Oleic Acid,BE0003998,"Fatty acid-binding protein, liver",,Humans,FABP1,P07148
DB04224,Oleic Acid,BE0000530,Albumin,,Humans,ALB,P02768
DB04224,Oleic Acid,BE0001141,Vitamin D-binding protein,,Humans,GC,P02774
DB04224,Oleic Acid,BE0001821,"Fatty acid-binding protein, brain",,Humans,FABP7,O15540
DB04224,Oleic Acid,BE0001194,"Fatty acid-binding protein, adipocyte",,Humans,FABP4,P15090
DB04437,"Cysteine-Methylene-Carbamoyl-1,10-Phenanthroline",BE0001194,"Fatty acid-binding protein, adipocyte",,Humans,FABP4,P15090
DB04474,8-anilinonaphthalene-1-sulfonic acid,BE0001194,"Fatty acid-binding protein, adipocyte",,Humans,FABP4,P15090
DB04474,8-anilinonaphthalene-1-sulfonic acid,BE0000337,Transthyretin,,Humans,TTR,P02766
DB04539,Glyphosate,BE0000530,Albumin,,Humans,ALB,P02768
DB04557,Arachidonic Acid,BE0003591,"Fatty acid-binding protein, intestinal",,Humans,FABP2,P12104
DB04557,Arachidonic Acid,BE0000530,Albumin,,Humans,ALB,P02768
DB04557,Arachidonic Acid,BE0001194,"Fatty acid-binding protein, adipocyte",,Humans,FABP4,P15090
DB04574,Estrone sulfate,BE0000685,Sex hormone-binding globulin,,Humans,SHBG,P04278
DB04574,Estrone sulfate,BE0000530,Albumin,,Humans,ALB,P02768
DB04674,"2-HYDROXY-3,5-DIIODOBENZOIC ACID",BE0000337,Transthyretin,,Humans,TTR,P02766
DB04690,Camptothecin,BE0000530,Albumin,,Humans,ALB,P02768
DB04711,Iodipamide,BE0000530,Albumin,binder,Humans,ALB,P02768
DB04756,"2-[(3,5-Dichloro-4-trioxidanylphenyl)amino]benzoic acid",BE0000337,Transthyretin,,Humans,TTR,P02766
DB04816,Dantron,BE0000530,Albumin,,Humans,ALB,P02768
DB04821,Nomifensine,BE0000925,Alpha-1-acid glycoprotein 1,,Humans,ORM1,P02763
DB04828,Zomepirac,BE0000530,Albumin,,Humans,ALB,P02768
DB04847,Roxadustat,BE0000530,Albumin,binder,Humans,ALB,P02768
DB04854,Febuxostat,BE0000530,Albumin,binder,Humans,ALB,P02768
DB04855,Dronedarone,BE0000530,Albumin,binder,Humans,ALB,P02768
DB04861,Nebivolol,BE0000530,Albumin,binder,Humans,ALB,P02768
DB04911,Oritavancin,BE0000530,Albumin,binder,Humans,ALB,P02768
DB04942,Tamibarotene,BE0000508,Cellular retinoic acid-binding protein 1,,Humans,CRABP1,P29762
DB04951,Pirfenidone,BE0000530,Albumin,binder,Humans,ALB,P02768
DB05076,Fenretinide,BE0000314,Retinol-binding protein 4,,Humans,RBP4,P02753
DB05134,Tanespimycin,BE0000530,Albumin,,Humans,ALB,P02768
DB05187,Elafibranor,BE0000530,Albumin,binder,Humans,ALB,P02768
DB05235,NRP409,BE0000337,Transthyretin,,Humans,TTR,P02766
DB05235,NRP409,BE0000537,Thyroxine-binding globulin,,Humans,SERPINA7,P05543
DB05239,Cobimetinib,BE0000925,Alpha-1-acid glycoprotein 1,binder,Humans,ORM1,P02763
DB05260,Gallium nitrate,BE0000510,Serotransferrin,binder,Humans,TF,P02787
DB05294,Vandetanib,BE0000925,Alpha-1-acid glycoprotein 1,binder,Humans,ORM1,P02763
DB05294,Vandetanib,BE0000530,Albumin,binder,Humans,ALB,P02768
DB05352,Fx-1006A,BE0000337,Transthyretin,,Humans,TTR,P02766
DB05382,Iodine,BE0000530,Albumin,binder,Humans,ALB,P02768
DB05382,Iodine,BE0009873,Thyroglobulin,binder,Humans,TG,P01266
DB05521,Telaprevir,BE0000530,Albumin,substrate,Humans,ALB,P02768
DB05521,Telaprevir,BE0000925,Alpha-1-acid glycoprotein 1,substrate,Humans,ORM1,P02763
DB05688,CRx-119,BE0000209,Corticosteroid-binding globulin,,Humans,SERPINA6,P08185
DB05812,Abiraterone,BE0000530,Albumin,binder,Humans,ALB,P02768
DB05812,Abiraterone,BE0000925,Alpha-1-acid glycoprotein 1,binder,Humans,ORM1,P02763
DB05948,MD-0727,BE0003449,Apolipoprotein A-I,,Humans,APOA1,P02647
DB06119,Cenobamate,BE0000530,Albumin,binder,Humans,ALB,P02768
DB06150,Sulfadimethoxine,BE0000530,Albumin,substrate,Humans,ALB,P02768
DB06151,Acetylcysteine,BE0000530,Albumin,binder,Humans,ALB,P02768
DB06199,Atrasentan,BE0000530,Albumin,binder,Humans,ALB,P02768
DB06201,Rufinamide,BE0000530,Albumin,substrate,Humans,ALB,P02768
DB06209,Prasugrel,BE0000530,Albumin,substrate,Humans,ALB,P02768
DB06215,Ferumoxytol,BE0000510,Serotransferrin,binder,Humans,TF,P02787
DB06216,Asenapine,BE0000530,Albumin,binder,Humans,ALB,P02768
DB06216,Asenapine,BE0004879,alpha1-acid glycoprotein,binder,Humans,ORM1,P02763
DB06234,Maribavir,BE0000530,Albumin,binder,Humans,ALB,P02768
DB06234,Maribavir,BE0000925,Alpha-1-acid glycoprotein 1,binder,Humans,ORM1,P02763
DB06237,Avanafil,BE0000530,Albumin,binder,Humans,ALB,P02768
DB06237,Avanafil,BE0000925,Alpha-1-acid glycoprotein 1,binder,Humans,ORM1,P02763
DB06282,Levocetirizine,BE0000530,Albumin,binder,Humans,ALB,P02768
DB06288,Amisulpride,BE0010007,Erythrocyte,binder,,,
DB06290,Simeprevir,BE0000530,Albumin,binder,Humans,ALB,P02768
DB06412,Oxymetholone,BE0000530,Albumin,,Humans,ALB,P02768
DB06412,Oxymetholone,BE0000685,Sex hormone-binding globulin,,Humans,SHBG,P04278
DB06480,Prucalopride,BE0000530,Albumin,binder,Humans,ALB,P02768
DB06636,Isavuconazonium,BE0000530,Albumin,binder,Humans,ALB,P02768
DB06655,Liraglutide,BE0000530,Albumin,binder,Humans,ALB,P02768
DB06695,Dabigatran etexilate,BE0000530,Albumin,binder,Humans,ALB,P02768
DB06705,Gadofosveset trisodium,BE0000530,Albumin,substrate,Humans,ALB,P02768
DB06710,Methyltestosterone,BE0000530,Albumin,,Humans,ALB,P02768
DB06710,Methyltestosterone,BE0000685,Sex hormone-binding globulin,,Humans,SHBG,P04278
DB06716,Fospropofol,BE0000530,Albumin,substrate,Humans,ALB,P02768
DB06755,Beta carotene,BE0004020,Very low-density lipoprotein receptor,substrate,Humans,VLDLR,P98155
DB06755,Beta carotene,BE0000301,Retinol-binding protein 1,substrate,Humans,RBP1,P09455
DB06755,Beta carotene,BE0000505,Retinol-binding protein 2,substrate,Humans,RBP2,P50120
DB06755,Beta carotene,BE0000255,Retinol-binding protein 3,substrate,Humans,RBP3,P10745
DB06755,Beta carotene,BE0000314,Retinol-binding protein 4,substrate,Humans,RBP4,P02753
DB06755,Beta carotene,BE0000682,Retinol-binding protein 5,substrate,Humans,RBP5,P82980
DB06757,Manganese cation,BE0000510,Serotransferrin,binder,Humans,TF,P02787
DB06757,Manganese cation,BE0000530,Albumin,binder,Humans,ALB,P02768
DB06757,Manganese cation,BE0001140,Ceruloplasmin,binder,Humans,CP,P00450
DB06772,Cabazitaxel,BE0000530,Albumin,binder,Humans,ALB,P02768
DB06772,Cabazitaxel,BE0000499,Low-density lipoprotein receptor,binder,Humans,LDLR,P01130
DB06772,Cabazitaxel,BE0004020,Very low-density lipoprotein receptor,binder,Humans,VLDLR,P98155
DB06772,Cabazitaxel,BE0010226,Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1,binder,Humans,GPIHBP1,Q8IV16
DB06784,Gallium citrate Ga-67,BE0000510,Serotransferrin,binder,Humans,TF,P02787
DB06784,Gallium citrate Ga-67,BE0000994,Lactotransferrin,binder,Humans,LTF,P02788
DB06784,Gallium citrate Ga-67,BE0000085,Ferritin light chain,binder,Humans,FTL,P02792
DB06784,Gallium citrate Ga-67,BE0000399,Ferritin heavy chain,binder,Humans,FTH1,P02794
DB06796,Mangafodipir,BE0000910,Alpha-2-macroglobulin,binder,Humans,A2M,P01023
DB06796,Mangafodipir,BE0000530,Albumin,binder,Humans,ALB,P02768
DB06813,Pralatrexate,BE0000530,Albumin,binder,Humans,ALB,P02768
DB06885,3-[({(1E)-[2-(trifluoromethyl)phenyl]methylidene}amino)oxy]propanoic acid,BE0000337,Transthyretin,,Humans,TTR,P02766
DB06907,"2-(2,6-DICHLOROPHENYL)-1,3-BENZOXAZOLE-6-CARBOXYLIC ACID",BE0000337,Transthyretin,,Humans,TTR,P02766
DB06935,"2',6'-DIFLUOROBIPHENYL-4-CARBOXYLIC ACID",BE0000337,Transthyretin,,Humans,TTR,P02766
DB06985,2-[({4-[2-(trifluoromethyl)phenyl]piperidin-1-yl}carbonyl)amino]benzoic acid,BE0000314,Retinol-binding protein 4,,Humans,RBP4,P02753
DB07047,"2',4'-DICHLORO-4-HYDROXY-1,1'-BIPHENYL-3-CARBOXYLIC ACID",BE0000337,Transthyretin,,Humans,TTR,P02766
DB07176,1-Naphthylamine-5-sulfonic acid,BE0000337,Transthyretin,,Humans,TTR,P02766
DB07201,(2S)-3-[(9H-fluoren-9-ylideneamino)oxy]-2-methylpropanoic acid,BE0000337,Transthyretin,,Humans,TTR,P02766
DB07240,3-[(9H-fluoren-9-ylideneamino)oxy]propanoic acid,BE0000337,Transthyretin,,Humans,TTR,P02766
DB07282,3-({[(1Z)-(2-methoxyphenyl)methylidene]amino}oxy)propanoic acid,BE0000337,Transthyretin,,Humans,TTR,P02766
DB07283,"9-benzyl-2,3,4,9-tetrahydro-1H-carbazole-8-carboxylic acid",BE0001194,"Fatty acid-binding protein, adipocyte",,Humans,FABP4,P15090
DB07402,Azapropazone,BE0000530,Albumin,,Humans,ALB,P02768
DB07517,3-CARBOXY-4-METHYL-5-PROPYL-2-FURANPROPIONIC,BE0000530,Albumin,,Humans,ALB,P02768
DB07565,Chloramphenicol succinate,BE0000530,Albumin,binder,Humans,ALB,P02768
DB07693,"N-(3,5-dibromo-4-hydroxyphenyl)-2,6-dimethylbenzamide",BE0000337,Transthyretin,,Humans,TTR,P02766
DB07694,"2,5-dichloro-N-(3,5-dibromo-4-hydroxyphenyl)benzamide",BE0000337,Transthyretin,,Humans,TTR,P02766
DB07695,"N-(3,5-dibromo-4-hydroxyphenyl)-4-hydroxy-3,5-dimethylbenzamide",BE0000337,Transthyretin,,Humans,TTR,P02766
DB07753,"3',5'-DIFLUOROBIPHENYL-4-CARBOXYLIC ACID",BE0000337,Transthyretin,,Humans,TTR,P02766
DB07775,"3',5'-DIBROMO-2',4,4',6'-TETRAHYDROXY AURONE",BE0000337,Transthyretin,,Humans,TTR,P02766
DB07945,"5-(3-carbamoylbenzyl)-5,6,7,8,9,10-hexahydrocyclohepta[b]indole-4-carboxylic acid",BE0001194,"Fatty acid-binding protein, adipocyte",,Humans,FABP4,P15090
DB07962,"METHYL N-[(2',4'-DIFLUORO-4-HYDROXY-5-IODOBIPHENYL-3-YL)CARBONYL]-BETA-ALANINATE",BE0000337,Transthyretin,,Humans,TTR,P02766
DB07963,"N-[(2',4'-DIFLUORO-4-HYDROXY-5-IODOBIPHENYL-3-YL)CARBONYL]-BETA-ALANINE",BE0000337,Transthyretin,,Humans,TTR,P02766
DB07992,Indoxyl sulfate,BE0000530,Albumin,,Humans,ALB,P02768
DB08100,"2,6-dimethyl-4-[(E)-2-phenylethenyl]phenol",BE0000337,Transthyretin,,Humans,TTR,P02766
DB08101,"2,6-dibromo-4-[(E)-2-phenylethenyl]phenol",BE0000337,Transthyretin,,Humans,TTR,P02766
DB08102,"3,5-dibromobiphenyl-4-ol",BE0000337,Transthyretin,,Humans,TTR,P02766
DB08103,"2,6-dibromo-4-phenoxyphenol",BE0000337,Transthyretin,,Humans,TTR,P02766
DB08104,"N-(3,5-dibromo-4-hydroxyphenyl)benzamide",BE0000337,Transthyretin,,Humans,TTR,P02766
DB08127,"1,3,3-trimethyl-2-[(1E,3E)-3-methylpenta-1,3-dien-1-yl]cyclohexene",BE0000782,Cellular retinoic acid-binding protein 2,,Humans,CRABP2,P29373
DB08205,"4-(1,3-BENZOXAZOL-2-YL)-2,6-DIMETHYLPHENOL",BE0000337,Transthyretin,,Humans,TTR,P02766
DB08206,"4-(1,3-BENZOXAZOL-2-YL)-2,6-DIBROMOPHENOL",BE0000337,Transthyretin,,Humans,TTR,P02766
DB08207,"2-(3,5-DIMETHYLPHENYL)-1,3-BENZOXAZOLE",BE0000337,Transthyretin,,Humans,TTR,P02766
DB08231,Myristic acid,BE0000530,Albumin,,Humans,ALB,P02768
DB08231,Myristic acid,BE0003591,"Fatty acid-binding protein, intestinal",,Humans,FABP2,P12104
DB08231,Myristic acid,BE0004245,Apolipoprotein M,,Humans,APOM,O95445
DB08455,Ro 12-7310,BE0000782,Cellular retinoic acid-binding protein 2,,Humans,CRABP2,P29373
DB08467,"6-(2,3,4,5,6,7-HEXAHYDRO-2,4,4-TRIMETHYL-1-METYLENEINDEN-2-YL)-3-METHYLHEXA-2,4-DIENOIC ACID",BE0000782,Cellular retinoic acid-binding protein 2,,Humans,CRABP2,P29373
DB08496,(R)-warfarin,BE0000530,Albumin,,Humans,ALB,P02768
DB08607,"(5R)-5-(4-{[(2R)-6-HYDROXY-2,5,7,8-TETRAMETHYL-3,4-DIHYDRO-2H-CHROMEN-2-YL]METHOXY}BENZYL)-1,3-THIAZOLIDINE-2,4-DIONE",BE0001194,"Fatty acid-binding protein, adipocyte",,Humans,FABP4,P15090
DB08735,"R,S-Warfarin alcohol",BE0000530,Albumin,,Humans,ALB,P02768
DB08736,"S,R-Warfarin alcohol",BE0000530,Albumin,,Humans,ALB,P02768
DB08804,Nandrolone decanoate,BE0000685,Sex hormone-binding globulin,binder,Humans,SHBG,P04278
DB08814,Triflusal,BE0000530,Albumin,substrate,Humans,ALB,P02768
DB08816,Ticagrelor,BE0000530,Albumin,binder,Humans,ALB,P02768
DB08820,Ivacaftor,BE0000530,Albumin,carrier,Humans,ALB,P02768
DB08820,Ivacaftor,BE0000925,Alpha-1-acid glycoprotein 1,carrier,Humans,ORM1,P02763
DB08822,Azilsartan medoxomil,BE0000530,Albumin,binder,Humans,ALB,P02768
DB08828,Vismodegib,BE0000530,Albumin,binder,Humans,ALB,P02768
DB08828,Vismodegib,BE0000925,Alpha-1-acid glycoprotein 1,binder,Humans,ORM1,P02763
DB08860,Pitavastatin,BE0000530,Albumin,substrate,Humans,ALB,P02768
DB08860,Pitavastatin,BE0000925,Alpha-1-acid glycoprotein 1,substrate,Humans,ORM1,P02763
DB08864,Rilpivirine,BE0000530,Albumin,binder,Humans,ALB,P02768
DB08865,Crizotinib,BE0000530,Albumin,binder,Humans,ALB,P02768
DB08865,Crizotinib,BE0004879,alpha1-acid glycoprotein,binder,Humans,ORM1,P02763
DB08867,Ulipristal,BE0000530,Albumin,substrate,Humans,ALB,P02768
DB08867,Ulipristal,BE0000925,Alpha-1-acid glycoprotein 1,substrate,Humans,ORM1,P02763
DB08877,Ruxolitinib,BE0000530,Albumin,binder,Humans,ALB,P02768
DB08881,Vemurafenib,BE0000530,Albumin,substrate,Humans,ALB,P02768
DB08881,Vemurafenib,BE0000925,Alpha-1-acid glycoprotein 1,substrate,Humans,ORM1,P02763
DB08893,Mirabegron,BE0000530,Albumin,binder,Humans,ALB,P02768
DB08893,Mirabegron,BE0000925,Alpha-1-acid glycoprotein 1,binder,Humans,ORM1,P02763
DB08895,Tofacitinib,BE0000530,Albumin,,Humans,ALB,P02768
DB08899,Enzalutamide,BE0000530,Albumin,binder,Humans,ALB,P02768
DB08903,Bedaquiline,BE0000530,Albumin,binder,Humans,ALB,P02768
DB08903,Bedaquiline,BE0000925,Alpha-1-acid glycoprotein 1,binder,Humans,ORM1,P02763
DB08906,Fluticasone furoate,BE0000209,Corticosteroid-binding globulin,binder,Humans,SERPINA6,P08185
DB08906,Fluticasone furoate,BE0000530,Albumin,binder,Humans,ALB,P02768
DB08906,Fluticasone furoate,BE0000925,Alpha-1-acid glycoprotein 1,binder,Humans,ORM1,P02763
DB08907,Canagliflozin,BE0000925,Alpha-1-acid glycoprotein 1,substrate,Humans,ORM1,P02763
DB08912,Dabrafenib,BE0000530,Albumin,binder,Humans,ALB,P02768
DB08930,Dolutegravir,BE0000530,Albumin,binder,Humans,ALB,P02768
DB08930,Dolutegravir,BE0004879,alpha1-acid glycoprotein,binder,Humans,ORM1,P02763
DB08931,Riociguat,BE0000530,Albumin,substrate,Humans,ALB,P02768
DB08931,Riociguat,BE0000925,Alpha-1-acid glycoprotein 1,substrate,Humans,ORM1,P02763
DB08932,Macitentan,BE0000530,Albumin,binder,Humans,ALB,P02768
DB08932,Macitentan,BE0004879,alpha1-acid glycoprotein,binder,Humans,ORM1,P02763
